City,Price(P),Change(P),Price(D),Change(D)
Bishnupur,99.44 ₹/L,+ 0.20,85.21 ₹/L,  0.00
Chandel,99.66 ₹/L,  0.00,85.68 ₹/L,  0.00
Churachandpur,99.61 ₹/L,- 0.08,85.85 ₹/L,+ 0.22
East Imphal,99.20 ₹/L,  0.00,85.26 ₹/L,- 0.06
Jiribam,101.14 ₹/L,  0.00,87.08 ₹/L,  0.00
Kakching,99.50 ₹/L,  0.00,85.53 ₹/L,  0.00
Kangpokpi,99.56 ₹/L,  0.00,85.58 ₹/L,  0.00
Noney,99.66 ₹/L,  0.00,85.68 ₹/L,  0.00
Senapati,100.16 ₹/L,  0.00,86.13 ₹/L,  0.00
Tamenglong,100.62 ₹/L,  0.00,86.55 ₹/L,  0.00
Tengnoupal,100.12 ₹/L,+ 0.35,85.78 ₹/L,  0.00
Thoubal,99.38 ₹/L,  0.00,85.42 ₹/L,+ 0.12
Ukhrul,99.94 ₹/L,  0.00,85.93 ₹/L,  0.00
West Imphal,99.14 ₹/L,  0.00,85.21 ₹/L,  0.00
