City,Price(P),Change(P),Price(D),Change(D)
Agra,96.24 ₹/L,- 0.06,89.80 ₹/L,+ 0.31
Aligarh,96.63 ₹/L,- 0.08,90.13 ₹/L,+ 0.19
Allahabad,96.66 ₹/L,- 0.74,89.86 ₹/L,- 0.61
Ambedkarnagar,97.34 ₹/L,+ 0.09,90.69 ₹/L,+ 0.14
Amethi Csm Nagar,97.45 ₹/L,+ 0.13,90.25 ₹/L,  0.00
Amroha,97.18 ₹/L,+ 0.10,90.62 ₹/L,- 0.20
Auraiya,97.23 ₹/L,+ 0.15,89.57 ₹/L,- 0.18
Azamgarh,97.46 ₹/L,- 0.14,90.30 ₹/L,+ 0.25
Baghpat,96.39 ₹/L,- 0.33,91.33 ₹/L,+ 0.62
Bahraich,97.11 ₹/L,+ 0.02,90.64 ₹/L,+ 0.12
Ballia,98.18 ₹/L,+ 0.62,90.00 ₹/L,- 0.05
Balrampur,96.81 ₹/L,- 0.16,89.52 ₹/L,- 0.53
Banda,97.49 ₹/L,- 0.41,89.80 ₹/L,+ 0.05
Barabanki,96.81 ₹/L,- 0.06,90.43 ₹/L,+ 0.23
Bareilly,96.83 ₹/L,- 0.18,89.72 ₹/L,- 0.10
Basti,97.27 ₹/L,- 0.06,90.72 ₹/L,- 0.02
Bijnor,96.25 ₹/L,- 0.03,89.81 ₹/L,+ 0.23
Budaun,96.28 ₹/L,- 0.26,89.86 ₹/L,- 0.05
Bulandshahr,97.25 ₹/L,+ 0.05,90.42 ₹/L,- 0.10
Chandauli,96.53 ₹/L,- 0.09,90.19 ₹/L,- 0.13
Chitrakut,97.54 ₹/L,  0.00,89.82 ₹/L,+ 0.06
Deoria,96.71 ₹/L,+ 0.20,89.75 ₹/L,+ 0.23
Etah,96.70 ₹/L,+ 0.07,91.31 ₹/L,- 0.03
Etawah,96.99 ₹/L,+ 0.02,89.76 ₹/L,+ 0.08
Faizabad,97.08 ₹/L,- 0.20,90.11 ₹/L,- 0.41
Farrukkhabad,97.23 ₹/L,+ 0.17,89.80 ₹/L,+ 0.14
Fatehpur,97.74 ₹/L,+ 0.18,90.35 ₹/L,+ 0.09
Firozabad,96.12 ₹/L,+ 0.02,89.91 ₹/L,+ 0.28
Gautam Budh Nagar,96.64 ₹/L,+ 0.05,90.97 ₹/L,  0.00
Ghaziabad,96.58 ₹/L,+ 0.14,89.43 ₹/L,- 0.48
Ghazipur,97.87 ₹/L,+ 0.76,90.31 ₹/L,- 0.22
Gonda,96.83 ₹/L,+ 0.12,89.45 ₹/L,- 0.35
Gorakhpur,96.46 ₹/L,- 0.41,90.10 ₹/L,+ 0.02
Hamirpur,96.94 ₹/L,- 0.62,89.87 ₹/L,+ 0.03
Hapur,96.43 ₹/L,- 0.25,90.74 ₹/L,+ 0.54
Hardoi,97.18 ₹/L,+ 0.32,90.31 ₹/L,  0.00
Hathras,96.52 ₹/L,+ 0.04,89.66 ₹/L,- 0.27
Jalaun,97.60 ₹/L,  0.00,89.85 ₹/L,  0.00
Jaunpur,97.75 ₹/L,+ 0.40,89.32 ₹/L,- 0.20
Jhansi,96.80 ₹/L,+ 0.55,90.32 ₹/L,- 0.17
Kannuaj,96.96 ₹/L,- 0.18,89.42 ₹/L,- 0.07
Kanpur Rural,96.66 ₹/L,+ 0.21,90.27 ₹/L,- 0.02
Kanpur Urban,96.27 ₹/L,  0.00,90.37 ₹/L,+ 0.47
Kashi Ram Nagar,96.78 ₹/L,  0.00,89.81 ₹/L,- 0.25
Kaushambi,96.53 ₹/L,- 0.35,90.31 ₹/L,- 0.04
Kushinagar,96.69 ₹/L,- 0.21,90.43 ₹/L,- 0.23
Lakhimpur,96.59 ₹/L,- 1.15,90.12 ₹/L,+ 0.40
Lalitpur,97.15 ₹/L,- 0.36,90.17 ₹/L,- 0.22
Lucknow,96.47 ₹/L,- 0.10,89.81 ₹/L,- 0.56
Maharajganj,97.28 ₹/L,+ 0.35,90.49 ₹/L,+ 0.03
Mahoba,97.54 ₹/L,+ 0.06,90.06 ₹/L,+ 0.48
Mainpuri,97.02 ₹/L,+ 0.13,90.00 ₹/L,  0.00
Mathura,96.16 ₹/L,+ 0.14,90.29 ₹/L,- 0.21
Maunathbhanjan,97.14 ₹/L,- 0.44,90.40 ₹/L,- 0.27
Meerut,96.46 ₹/L,+ 0.26,90.70 ₹/L,- 0.58
Mirzapur,97.08 ₹/L,+ 0.35,89.80 ₹/L,- 0.07
Moradabad,97.20 ₹/L,  0.00,90.08 ₹/L,- 0.23
